title,latitude,longitude
Amsterdam,52.373056,4.892222
Ankara,39.916667,32.833333
Arlington,38.880278,-77.108333
Athens,37.966667,23.716667
Baden Baden,48.762778,8.240833
Belgrade,44.816667,20.466667
Berlin,52.516667,13.383333
Bern,46.95,7.45
Boston,42.358056,-71.063611
Brussels,50.85,4.35
Bucharest,44.4325,26.103889
Budapest,47.471944,19.050278
Bristol,51.45,-2.583333
Canterbury,51.275,1.087
Chudovsky,59.133333,31.666667
Cincinnati,39.1,-84.516667
Claremont,51.359444,-0.368333
Constantine,36.35,6.6
Copenhagen,55.676111,12.568333
Coulommiers,48.8247,3.1068
Courthezon,44.0883,4.8847
Davenport,41.543056,-90.590833
Drottningholm,59.321667,17.886111
Foix,42.965556,1.606944
France,48.8567,2.3508
Friedrichsdorf,50.255556,8.639722
Galicia,42.5,-8.1
Geneva,46.2,6.15
Germany,52.516667,13.383333
Hertfordshire,51.9,-0.2
Karachi,24.86,67.01
Keokuk,40.4025,-91.394444
Lanarkshire,55.6,-3.783333
Laeken,50.866667, 4.35
Leeuwarden,53.2,5.783333
London,51.507222,-0.1275
Malaga,36.719444,-4.42
Marchais Aisne,49.5,3.5
Minsk,53.9,27.566667
Monaco,43.716667,7.416667
Morbihan,47.833333,-2.833333
Moscow,55.75,37.616667
Mougins,43.6008, 6.9956
Moutiers,45.4858,6.5344
Mugla,37.216667,28.366667
New Orleans,29.964722,-90.070556
New York,40.67,-73.94
Nice,43.7034, 7.2663
Paris,48.8567,2.3508
Philadelphia,39.95,-75.166667
Pierreval,49.5433, 1.2572
Prague,50.083333,14.416667
Py,42.4967,2.3514
Reims,49.2628,4.0347
Rome,41.9,12.483333
Rouen,49.44,1.1
Saint Cloud,48.84,2.22
Sangerville,45.123889,-69.310278
Saumur,47.26,-0.0769
Slinfold,51.109167,-0.187222
St. Petersburg,59.95,30.3
Strasbourg,48.58,7.75
Tehran,35.696111,51.423056
Tours,47.3936,0.6892
Venice,45.4375,12.335833
Washington,38.895111,-77.036667
Yonkers,40.941389,-73.864444
Yonne,47.8,3.566667
Yorkshire,53.75,-1.666667